Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
"{'Novel Fiksi', 'Buku Anak', 'Buku Non-Fiksi'}",{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},{'Daily needs'},{'Netral'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},2
{'Komik'},{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}","{'Lifestyle', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},0
{'Sport & mainanan'},{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}","{'Literasi', 'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Self Wear'}",{'Setuju'},{'Setuju'},{'Netral'},{'Setuju'},1
{'Sport & mainanan'},{'Aplikasi Gramedia.com'},"{'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},"{'edukasi', 'Daily needs'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},0
"{'Alat Kantor/Sekolah', 'Buku Non-Fiksi'}",{'Website Gramedia.com'},{'Untuk mengekspresikan kreativitas'},{'Literasi'},"{'edukasi', 'Self Wear'}",{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},3
"{'Sport & mainanan', 'Novel Fiksi'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi'}","{'Lifestyle', 'Aktivitas Rekreasional'}","{'Self Wear', 'Daily needs'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},3
{'Komik'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}",{'Lifestyle'},{'edukasi'},{'Tidak Setuju'},{'Sangat Setuju'},{'Netral'},{'Setuju'},1
{'Alat Kantor/Sekolah'},{'Toko Gramedia'},{'Untuk mengekspresikan kreativitas'},{'Lifestyle'},{'Self Wear'},{'Tidak Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},1
"{'Alat Kantor/Sekolah', 'Novel Fiksi', 'Komik'}","{'Marketplace (Shopee, Tokopedia, dll.)'}",{'Untuk mengekspresikan kreativitas'},"{'Aktivitas Rekreasional', 'Seni'}",{'Self Wear'},{'Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},0
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Alat Seni'}",{'Toko Gramedia'},{'Kado atau hadiah'},"{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Sangat Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
