Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
"{'Novel Fiksi', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Bermain game (offline/online)'},{'Alat Tulis kantor atau sekolah'},{'Netral'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},5
{'Komik/Novel Grafis'},{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}","{'Bermain game (offline/online)', 'Travelling', 'Olahraga'}",{'Mainan'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},4
{'Alat Olahraga'},{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}","{'Bermain game (offline/online)', 'Membaca buku atau majalah', 'Melukis atau menggambar'}","{'Mainan', 'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Kesehatan dan Kecantikan'}",{'Setuju'},{'Setuju'},{'Netral'},{'Setuju'},1
{'Mainan/Collectible item'},{'Aplikasi Gramedia.com'},"{'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}",{'Bermain game (offline/online)'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku fiksi (novel, komik, buku anak)', 'Alat Tulis kantor atau sekolah'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},5
"{'Jurnal/Perencana (Planner)', 'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Perlengkapan Kantor atau Sekolah'}",{'Website Gramedia.com'},{'Untuk mengekspresikan kreativitas'},{'Membaca buku atau majalah'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Kesehatan dan Kecantikan', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},1
"{'Novel Fiksi', 'Alat Olahraga'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi'}","{'Bermain game (offline/online)', 'Travelling', 'Menghadiri acara budaya atau edukasi'}","{'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},0
{'Komik/Novel Grafis'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}",{'Travelling'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Netral'},{'Setuju'},0
{'Jurnal/Perencana (Planner)'},{'Toko Gramedia'},{'Untuk mengekspresikan kreativitas'},{'Travelling'},{'Alat Olahraga'},{'Tidak Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},4
"{'Jurnal/Perencana (Planner)', 'Novel Fiksi', 'Komik/Novel Grafis'}","{'Marketplace (Shopee, Tokopedia, dll.)'}",{'Untuk mengekspresikan kreativitas'},"{'Melukis atau menggambar', 'Menghadiri acara budaya atau edukasi', 'Olahraga'}",{'Mainan'},{'Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Mainan/Collectible item', 'Alat Musik', 'Jurnal/Perencana (Planner)'}",{'Toko Gramedia'},{'Kado atau hadiah'},"{'Bermain game (offline/online)', 'Belanja online/offline', 'Membaca buku atau majalah'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan'}",{'Sangat Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},1
