Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Novel Fiksi; Buku Anak",Toko buku independen lainnya,Kado atau hadiah,Bermain musik; Belanja online/offline,Alat Olahraga,Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Komik/Novel Grafis,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan; Kado atau hadiah,Menghadiri acara budaya atau edukasi; Melukis atau menggambar ; Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Olahraga",Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Alat Olahraga,Toko buku independen lainnya,Menambah pengetahuan; Kado atau hadiah,Menghadiri acara budaya atau edukasi; Bermain game (offline/online); Melukis atau menggambar ,Mainan; Alat Olahraga; Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Mainan/Collectible item,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline; Travelling,Alat Olahraga,Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
"Jurnal/Perencana (Planner); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,Untuk mengekspresikan kreativitas; Kado atau hadiah,Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama); Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah",Netral,Netral,Setuju,Netral
Novel Fiksi; Alat Olahraga,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,Travelling,"Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
Komik/Novel Grafis,Toko Gramedia,"Untuk mengekspresikan kreativitas; Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ; Bermain musik,Mainan; Alat Tulis kantor atau sekolah; Alat Olahraga,Sangat Setuju,Netral,Tidak Setuju,Netral
Jurnal/Perencana (Planner),Website Gramedia.com,Menambah pengetahuan; Untuk mengekspresikan kreativitas; Kado atau hadiah,"Melukis atau menggambar ; Bermain game (offline/online); Menulis (diari, blog, atau lainnya)",Mainan,Setuju,Sangat Setuju,Tidak Setuju,Netral
Novel Fiksi; Jurnal/Perencana (Planner); Komik/Novel Grafis,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Mainan,Netral,Setuju,Tidak Setuju,Netral
Mainan/Collectible item; Jurnal/Perencana (Planner); Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,Membaca buku atau majalah ; Travelling; Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Kesehatan dan Kecantikan; Mainan,Setuju,Setuju,Netral,Tidak Setuju
"Buku Anak; Novel Fiksi; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan",Melukis atau menggambar ; Bermain game (offline/online); Membaca buku atau majalah ,"Buku fiksi (novel, komik, buku anak); Alat Olahraga; Alat Tulis kantor atau sekolah",Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Musik; Perlengkapan Seni/Kreatif; Buku Anak,Website Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,"Olahraga; Travelling; Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
Komik/Novel Grafis,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya); Olahraga",Kesehatan dan Kecantikan,Setuju,Setuju,Tidak Setuju,Netral
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga; Travelling; Bermain musik,Alat Tulis kantor atau sekolah; Alat Musik & kesenian; Kesehatan dan Kecantikan,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
