Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Travelling, Menulis (diari, blog, atau lainnya), Belanja online/offline","Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
Komik/Novel Grafis,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Bermain game (offline/online), Menghadiri acara budaya atau edukasi","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
Mainan/Collectible item,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menulis (diari, blog, atau lainnya), Belanja online/offline","Alat Tulis kantor atau sekolah, Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Melukis atau menggambar ","Alat Olahraga, Mainan"
"Novel Fiksi, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Menambah pengetahuan",Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan
Komik/Novel Grafis,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Travelling","Mainan, Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,"Buku fiksi (novel, komik, buku anak)"
"Novel Fiksi, Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Belanja online/offline, Travelling","Mainan, Kesehatan dan Kecantikan, Alat Olahraga"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Bermain musik, Travelling, Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan",Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak)"
"Buku Anak, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Anak",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan, Alat Olahraga"
Komik/Novel Grafis,Toko Gramedia,Menambah pengetahuan,"Olahraga, Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,Alat Musik & kesenian
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Website Gramedia.com,Hiburan atau relaksasi,"Membaca buku atau majalah , Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Mainan"
"Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,Kado atau hadiah,Olahraga,"Alat Olahraga, Alat Musik & kesenian, Mainan"
Alat Olahraga,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar , Bermain musik",Kesehatan dan Kecantikan
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Alat Olahraga
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Menulis (diari, blog, atau lainnya)",Alat Olahraga
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah",Membaca buku atau majalah ,"Mainan, Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas",Melukis atau menggambar ,"Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Musik,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online), Bermain musik",Mainan
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Membaca buku atau majalah , Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling,"Alat Tulis kantor atau sekolah, Alat Olahraga"
"Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,"Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Travelling, Bermain game (offline/online), Belanja online/offline","Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Membaca buku atau majalah ","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Alat Olahraga, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Membaca buku atau majalah ",Alat Olahraga
"Alat Musik, Buku Anak",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Membaca buku atau majalah ",Alat Tulis kantor atau sekolah
"Alat Olahraga, Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Bermain musik, Bermain game (offline/online)","Mainan, Alat Musik & kesenian"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,"Buku fiksi (novel, komik, buku anak)"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Hiburan atau relaksasi,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya), Bermain musik",Alat Musik & kesenian
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan","Bermain game (offline/online), Olahraga, Menghadiri acara budaya atau edukasi","Alat Musik & kesenian, Kesehatan dan Kecantikan, Mainan"
