Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Menambah pengetahuan"
Komik/Novel Grafis,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Buku Anak, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Anak",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,Toko Gramedia,Menambah pengetahuan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Website Gramedia.com,Hiburan atau relaksasi
"Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,Kado atau hadiah
Alat Olahraga,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
