Produk sering beli,Motivasi utama pembelian
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Buku Anak","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Komik/Novel Grafis,Kado atau hadiah
Alat Olahraga,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
Mainan/Collectible item,Menambah pengetahuan
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Novel Fiksi, Alat Olahraga","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Jurnal/Perencana (Planner), Komik/Novel Grafis","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Alat Musik",Untuk mengekspresikan kreativitas
Alat Tulis Umum (Kantor/Sekolah),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Anak","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Komik/Novel Grafis,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Untuk mengekspresikan kreativitas
"Perlengkapan Kantor atau Sekolah, Buku Anak",Menambah pengetahuan
Alat Olahraga,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Kado atau hadiah
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Hiburan atau relaksasi
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Komik/Novel Grafis","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Menambah pengetahuan
Alat Musik,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Hiburan atau relaksasi
"Komik/Novel Grafis, Mainan/Collectible item","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Mainan/Collectible item","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Kado atau hadiah
"Alat Olahraga, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Kado atau hadiah
"Alat Musik, Buku Anak","Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Alat Olahraga, Jurnal/Perencana (Planner), Komik/Novel Grafis","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Komik/Novel Grafis",Sebagai bentuk 'self-reward' atau apresiasi diri
Perlengkapan Seni/Kreatif,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
Perlengkapan Kantor atau Sekolah,"Hiburan atau relaksasi, Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
Buku Anak,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Alat Olahraga, Buku Anak","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Perlengkapan Kantor atau Sekolah, Alat Musik, Alat Olahraga","Kado atau hadiah, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Sebagai bentuk 'self-reward' atau apresiasi diri
Jurnal/Perencana (Planner),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Musik","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Mainan/Collectible item","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Menambah pengetahuan
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Buku Anak, Perlengkapan Seni/Kreatif","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Buku Anak,Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Hiburan atau relaksasi
Alat Olahraga,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Anak, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Buku Anak",Menambah pengetahuan
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis","Kado atau hadiah, Menambah pengetahuan"
Perlengkapan Seni/Kreatif,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Komik/Novel Grafis","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Komik/Novel Grafis,Hiburan atau relaksasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Jurnal/Perencana (Planner),"Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Komik/Novel Grafis, Jurnal/Perencana (Planner)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Olahraga, Komik/Novel Grafis, Buku Anak","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
